Factor,Baseline Mean,Baseline Peak,Baseline Time to Peak,Brain Freeze Mean,Brain Freeze Peak,Brain Freeze Time to Peak,% Change of Means,T-Statistic,P-Value
MCAv_mean,49.9771,61.5877,58.34,51.5834,65.3441,8.5,3.2141,-14.8697,0.0
MCAv_dia,37.6952,48.5,57.67,37.5834,50.5625,6.94,-0.2966,1.3899,0.1646
MCAv_raw,49.9585,78.1094,59.96,51.6181,86.7875,8.49,3.322,-8.445,0.0
MCAv_sys,69.7215,78.3125,58.34,74.1102,87.1875,8.5,6.2946,-28.7485,0.0
FP_raw,123.1191,154.0406,59.94,107.9128,138.8281,57.8,-12.3509,102.0768,0.0
HCU_pressure,49.9771,61.5877,58.34,51.5834,65.3441,8.5,3.2141,-14.8697,0.0
Systolic,137.0483,154.0719,59.72,117.2098,138.0063,54.32,-14.4756,181.4061,0.0
Mean_arterial,123.1275,139.0094,58.94,108.1529,124.0781,53.47,-12.1619,154.633,0.0
Diastolic,111.4689,128.0375,59.72,99.8968,112.0031,55.16,-10.3815,134.4154,0.0
HR,78.1805,92.0687,9.33,69.9352,118.9719,6.61,-10.5465,24.3684,0.0
MCA_PI,0.6434,0.768,29.12,0.7095,0.8629,23.94,10.2735,-57.6382,0.0
