Factor,Baseline Mean,Baseline Peak,Baseline Time to Peak,Brain Freeze Mean,Brain Freeze Peak,Brain Freeze Time to Peak,% Change of Means,T-Statistic,P-Value
MCAv_mean,52.4069,63.3322,0.0,57.909,75.3215,16.43,10.4988,-53.6362,0.0
MCAv_dia,29.9455,43.5625,0.0,32.7375,46.0,16.43,9.3236,-29.1412,0.0
MCAv_raw,52.4091,104.0406,43.49,57.9476,111.375,45.27,10.5678,-14.7424,0.0
MCAv_sys,99.8566,104.5312,43.5,101.3987,111.875,45.28,1.5443,-24.4487,0.0
FP_raw,65.9059,136.6781,39.96,22.8937,50.3031,54.18,-65.263,160.5827,0.0
HCU_pressure,52.4069,63.3322,0.0,57.909,75.3215,16.43,10.4988,-53.6362,0.0
Systolic,114.7918,136.0781,39.88,30.9079,50.1156,46.92,-73.0748,429.4966,0.0
Mean_arterial,65.9247,81.0,0.0,24.4046,34.0406,46.14,-62.9811,396.2481,0.0
Diastolic,45.9526,59.1812,1.81,20.6793,26.0406,46.92,-54.9986,283.7716,0.0
HR,76.4406,96.1094,0.47,55.4266,98.1156,1.98,-27.4906,46.308,0.0
MCA_PI,1.3414,1.6201,22.76,1.2086,1.6628,55.88,-9.9001,33.6239,0.0
