Factor,Baseline Mean,Baseline Peak,Baseline Time to Peak,Brain Freeze Mean,Brain Freeze Peak,Brain Freeze Time to Peak,% Change of Means,T-Statistic,P-Value
MCAv_mean,62.6228,78.2298,13.06,67.4525,82.0067,23.69,7.7124,-38.0625,0.0
MCAv_dia,43.9582,68.3438,13.06,47.0688,68.9375,57.46,7.0763,-28.3428,0.0
MCAv_raw,62.6741,100.2094,59.85,67.5229,113.7469,18.98,7.7365,-18.6087,0.0
MCAv_sys,89.3747,100.6562,59.86,96.5183,114.4375,31.86,7.9929,-43.9747,0.0
FP_raw,88.6089,163.05,46.88,75.3105,224.0781,40.61,-15.008,19.4342,0.0
HCU_pressure,62.6228,78.2298,13.06,67.4525,82.0067,23.69,7.7124,-38.0625,0.0
Systolic,142.1681,162.5625,48.08,158.8791,215.0,36.47,11.7544,-39.1012,0.0
Mean_arterial,88.5073,101.4062,5.65,74.8083,117.0062,43.03,-15.4778,63.3621,0.0
Diastolic,65.669,80.1937,58.35,58.9321,180.0063,36.47,-10.2589,10.8846,0.0
HR,48.7139,61.4375,52.85,58.0868,128.5187,44.8,19.2407,-28.8634,0.0
MCA_PI,0.7282,0.9126,19.45,0.7416,1.1851,34.57,1.8402,-6.8024,0.0
